Artificial Sports Lighting,Discuss Throw Facility,Facility ID,Hammer Throw Facility,High Jump Facility,Indoor Throw Net for Javelin,Indoor Throws Training - Cage,Infield Surface Type,Javelin Throw Facility,Long Jump Facility,Oval Track Lanes,Oval Track Length,Pole Vault Facility,Shot Put Facility,SpectatorAccom: Designated Accessible,SpectatorAccom: Designated Accessible Covered,SpectatorAccom: Designated Accessible Uncovered,SpectatorAccom: Capacity Estimate,SpectatorAccom: Checked,SpectatorAccom: Seating,SpectatorAccom: Seating Covered,SpectatorAccom: Seating Uncovered,SpectatorAccom: Shared Flag,SpectatorAccom: Standing,SpectatorAccom: Standing Covered,SpectatorAccom: Standing Uncovered,SpectatorAccom: Total Capacity,Sprint Straight Length,Steeplechase Water Jump,Straight Track Lanes,Track Lanes,Track Length,Track Surface Type,Triple Jump Facility,Has changing rooms?,Are changing rooms refurbished?,Year changing rooms refurbished,Changing Place Toilets,Closure Reason,Disability: Activity Area,Disability: Changing Facilities,Disability: Doorways,Disability: Emergency Exits,Disability: Finding and reaching the entrance,Disability Notes,Disability: Parking,Disability: Reception Area,Disability: Social Areas,Disability: Spectator Areas,Disability: Toilets,Facility Subtype,Facility Type,Operational Status,Operational Status Notes,Meets Active Places Criteria,Date Opened,Expected Opening Date,Operator Name,Closed Date,Created Date,Last Updated Date,Is Refurbished?,End Month,Start Month,Seasonality Type,Site ID,Timing Type,Year Built,Year Built Estimated?,Year Refurbished,Easting,Northing,Latitude,Longitude,Management Type (Text),Management Type Group (Text),Accessibility Type (Text),Accessibility Type Group (Text)
1,1,2071909,1,1,,,11,1,1,6,400.0,1,1,,0,0,0,0,,0,0,0,,0,0,0,100,1,6,,,18,1,1,1,2013,0,,1,1,1,1,1,,1,1,1,1,1,1004,1,3,,1,,,,,,2023-12-05 17:17:58,0,12,1,1,1002588,2,2005,0,,390999,412079,53.60521,-2.137491,Trust,Trust,Sports Club / Community Association,Public Access
1,1,2073805,1,1,,,11,1,1,6,400.0,0,1,,0,0,0,0,,0,0,0,,0,0,0,110,1,9,,,18,1,1,0,,0,,1,1,1,1,1,,1,1,0,0,1,1004,1,3,,1,,,,,,2024-05-17 12:00:53,0,12,1,1,1004492,2,2009,0,,247444,73539,50.54166,-4.154383,School/College/University (in house),Education,Sports Club / Community Association,Public Access
1,0,2074140,0,0,,,11,0,0,8,0.0,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,,19,0,1,1,2005,2,101,1,1,1,1,1,,1,1,1,1,1,1004,1,5,,0,,,,2015-11-30,,2023-06-07 10:56:44,1,12,1,1,1005508,2,1976,0,2005,406876,100653,50.80539,-1.903779,Trust,Trust,Pay and Play,Public Access
1,1,2074521,1,1,,,11,1,1,8,400.0,1,1,,0,0,0,0,,0,0,0,,0,0,0,110,1,8,,,18,1,1,0,,0,,1,1,1,1,1,,1,1,1,0,1,1004,1,3,,1,,,,,,2023-10-24 15:38:54,0,12,1,1,1004516,2,2008,0,,636329,166712,51.35033,1.392563,School/College/University (in house),Education,Sports Club / Community Association,Public Access
1,0,2078010,0,1,,,11,1,0,6,400.0,0,0,,0,0,0,0,,0,0,0,,0,0,0,110,1,6,,,18,0,1,1,2015,0,,1,1,1,1,1,,1,1,1,1,1,1004,1,3,Infield = rugby pitch. Throwing/jump facilities in other field.,1,,,,,,2023-08-08 13:29:52,1,12,1,1,1010754,2,2007,0,2015,445498,378754,53.30381,-1.318708,Other,Others,Pay and Play,Public Access
0,0,2078046,0,0,,,11,0,0,8,400.0,0,0,,0,0,0,0,,0,0,0,,0,0,0,112,0,8,,,18,0,1,0,,0,,1,1,1,1,1,,1,1,0,1,1,1004,1,3,400m,1,,,,,,2023-06-02 10:22:44,0,12,1,1,1002287,2,2007,0,,515602,187340,51.57309,-0.333258,School/College/University (in house),Education,Sports Club / Community Association,Public Access
0,1,2078821,0,0,,,11,1,1,6,400.0,0,0,,0,0,0,0,,0,0,0,,0,0,0,120,0,8,,,18,1,1,0,,0,,1,1,1,1,1,,1,1,0,1,1,1004,1,3,,1,,,,,,2024-05-22 09:26:09,0,12,1,1,1005779,2,2007,0,,503716,288356,52.4833,-0.4741288,School/College/University (in house),Education,Private Use,Private
1,1,2080190,1,1,,,11,1,1,8,400.0,0,1,,1,0,1,1,,150,0,0,,0,0,151,110,1,8,,,18,1,1,0,,0,,1,1,1,1,1,,1,1,1,1,1,1004,1,3,,1,,,,,,2023-10-09 10:48:04,0,12,1,1,1037960,2,2008,0,,365066,399327,53.4895,-2.527973,Sport Club,Others,Sports Club / Community Association,Public Access
1,1,2080242,1,1,,,11,1,1,8,400.0,1,1,,0,0,0,0,,0,0,0,,0,0,0,110,1,8,,,18,1,1,1,2010,0,,1,1,1,1,1,,1,1,1,0,1,1004,1,3,,1,2008-08-01,,,,,2023-07-31 10:18:22,0,12,1,1,1037974,2,2008,0,,449029,128594,51.0546,-1.301838,School/College/University (in house),Education,Pay and Play,Public Access
1,1,2081644,1,1,,,11,1,1,8,400.0,1,1,,0,0,0,0,,0,0,0,,0,0,0,110,1,10,,,18,1,1,1,2010,1,,1,1,1,1,1,,1,1,1,1,1,1004,1,3,,1,,,,,,2023-09-05 17:00:48,0,12,1,1,1004508,2,2010,0,,576891,168805,51.39072,0.54108,Local Authority (in house),Local Authority,Pay and Play,Public Access
1,1,2081646,1,1,,,11,1,1,8,400.0,1,1,,0,0,0,0,,0,0,0,,0,0,0,110,1,8,,,18,1,1,0,,0,,1,1,1,1,1,,1,1,0,1,1,1004,1,3,,1,,,,,,2023-12-08 10:36:57,0,12,1,1,1009992,2,2009,0,,581234,149347,51.21456,0.5935475,School/College/University (in house),Education,Private Use,Private
0,0,2089516,0,0,,,11,0,0,6,400.0,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,,19,0,1,1,2005,2,999,0,0,0,0,0,,0,0,0,0,0,1004,1,5,,0,,,Chesterfield Borough Council,2008-08-01,,2023-12-21 11:17:22,0,12,1,1,6016276,3,1987,0,,437849,370573,53.23088,-1.434447,Local Authority (in house),Local Authority,Pay and Play,Public Access
