Dimensions Estimate,Facility ID,Length,Area,Width,Has changing rooms?,Are changing rooms refurbished?,Year changing rooms refurbished,Changing Place Toilets,Closure Reason,Disability: Activity Area,Disability: Changing Facilities,Disability: Doorways,Disability: Emergency Exits,Disability: Finding and reaching the entrance,Disability Notes,Disability: Parking,Disability: Reception Area,Disability: Social Areas,Disability: Spectator Areas,Disability: Toilets,Facility Subtype,Facility Type,Operational Status,Operational Status Notes,Meets Active Places Criteria,Date Opened,Expected Opening Date,Operator Name,Closed Date,Created Date,Last Updated Date,Is Refurbished?,End Month,Start Month,Seasonality Type,Site ID,Timing Type,Year Built,Year Built Estimated?,Year Refurbished,Easting,Northing,Latitude,Longitude,Management Type (Text),Management Type Group (Text),Accessibility Type (Text),Accessibility Type Group (Text)
0,2008732,21.0,294.0,14.0,0,0,,0,,1,1,1,1,1,,1,1,1,1,1,10001,10,3,,1,,,,,,2024-01-03 15:13:33,1,12,1,1,1011638,2,1936,0,2000,330652,433403,53.79231,-3.054179,Commercial Management,Commercial,Pay and Play,Public Access
0,2008733,12.6,121.0,9.6,1,0,,2,999,0,0,0,0,0,,0,0,0,0,0,10001,10,5,,1,,,,2012-01-01,,2024-01-03 15:13:33,1,12,1,1,1011638,3,1936,0,2000,330652,433403,53.79231,-3.054179,Not Known,Not Known,Pay and Play,Public Access
0,2008734,56.0,1456.0,26.0,1,1,2010,0,,1,1,1,1,1,Social Areas: Cafe only,1,1,1,1,1,10001,10,3,,1,,,,,,2023-08-07 16:24:10,1,12,1,1,1011639,2,1955,0,2020,434929,571408,55.03598,-1.455038,Commercial Management,Commercial,Pay and Play,Public Access
0,2008735,56.0,1456.0,26.0,1,1,2022,0,,1,1,1,1,1,,1,1,1,1,1,10001,10,3,,1,,,Greenwich Leisure Limited,,,2024-06-24 07:25:42,1,12,1,1,1011640,2,1984,0,2022,535630,186784,51.56363,-0.04464915,Trust,Trust,Pay and Play,Public Access
0,2008736,40.0,800.0,20.0,0,0,,0,,1,0,1,1,1,stair lift on site.,0,1,1,1,1,10001,10,3,,1,,,,,,2023-12-08 11:52:39,1,12,1,1,1011641,2,1970,0,2016,525883,180670,51.51094,-0.1873758,Commercial Management,Commercial,Pay and Play,Public Access
0,2008738,60.0,1800.0,30.0,1,0,,0,,1,1,1,1,1,,1,1,1,1,1,10001,10,3,,1,,,,,,2024-03-25 08:51:03,1,12,1,1,1011643,2,1991,0,2005,368402,427490,53.74284,-2.480564,Commercial Management,Commercial,Pay and Play,Public Access
0,2008739,60.0,1800.0,30.0,1,1,2014,0,,1,1,1,1,1,,1,1,1,1,1,10001,10,3,,1,,,,,,2024-03-25 08:54:31,1,12,1,1,1011644,2,1997,0,2014,484431,237790,52.03211,-0.7706575,Commercial Management,Commercial,Pay and Play,Public Access
0,2008740,56.0,1568.0,28.0,1,1,2005,0,,1,1,1,1,1,,1,1,1,1,1,10001,10,3,,1,,,,,,2024-03-25 08:56:24,0,12,1,1,1011645,2,1980,0,,516482,302278,52.60583,-0.2813462,Commercial Management,Commercial,Sports Club / Community Association,Public Access
0,2008741,60.0,1800.0,30.0,1,1,2013,0,,1,1,1,1,1,,1,1,1,1,1,10001,10,3,,1,,,,,,2024-03-25 08:59:28,1,12,1,1,1011646,2,1987,0,2002,461485,152155,51.26524,-1.120115,Commercial Management,Commercial,Pay and Play,Public Access
0,2008742,56.0,1568.0,28.0,1,0,,0,,1,1,1,1,1,,0,1,1,1,1,10001,10,3,,1,,,,,,2024-03-25 09:02:32,0,12,1,1,1011647,2,2000,0,,432879,278846,52.40666,-1.518103,Commercial Management,Commercial,Pay and Play,Public Access
