Artificial Sports Lighting,Automatic Start Gate,Bike Wash,Black Trails,Blue Trails,Extreme Trails,Facility ID,Finish Straight Length,Finish Straight Width,Green Trails,Length of All Trails,Length of Black Trails,Length of Blue Trails,Length of Extreme Trails,Length of Green Trails,Length of Red Trails,Length of Straights,Degree of Banking at Middle of Bends,Degree of Banking at Middle of Straight,No of Persons Start Gate,Number of Straights,Number of Turns,Overall Width,Radius of Turns/Bends,Red Trails,Start Gate,Start Hill Elevation,Start Hill Width,Start Straight Length,Start Straight Width,Surface,Timing System,Total Length,Width of Turns/Bends,Has changing rooms?,Are changing rooms refurbished?,Year changing rooms refurbished,Changing Place Toilets,Closure Reason,Disability: Activity Area,Disability: Changing Facilities,Disability: Doorways,Disability: Emergency Exits,Disability: Finding and reaching the entrance,Disability Notes,Disability: Parking,Disability: Reception Area,Disability: Social Areas,Disability: Spectator Areas,Disability: Toilets,Facility Subtype,Facility Type,Operational Status,Operational Status Notes,Meets Active Places Criteria,Date Opened,Expected Opening Date,Operator Name,Closed Date,Created Date,Last Updated Date,Is Refurbished?,End Month,Start Month,Seasonality Type,Site ID,Timing Type,Year Built,Year Built Estimated?,Year Refurbished,Easting,Northing,Latitude,Longitude,Management Type (Text),Management Type Group (Text),Accessibility Type (Text),Accessibility Type Group (Text)
1,,,,,,30009274,70.0,6.0,,,,,,,,,,,,,,6.0,20.0,,,,,,,3,0,1600.0,,1,0,,0,,1,1,1,1,1,,1,1,0,1,1,20007,20,3,,1,,,Blackpool Council,,2017-02-15 11:17:43,2023-05-23 09:06:51,0,12,1,1,1004623,2,2010,1,,331433,433687,53.79497,-3.042384,Local Authority (in house),Local Authority,Pay and Play,Public Access
0,,,,,,30009280,100.0,5.0,,,,,,,,,,,,,,5.0,20.0,,,,,,,3,0,1300.0,,1,0,,0,,1,1,1,1,1,,1,1,1,1,1,20007,20,3,,1,,,,,2017-02-15 11:27:56,2023-08-08 10:29:59,0,12,1,1,1004634,2,2008,0,,346214,462485,54.05551,-2.823106,Local Authority (in house),Local Authority,Pay and Play,Public Access
0,,,,,,30009282,100.0,4.3,,,,,,,,,,,,,,4.5,20.0,,,,,,,3,0,1000.0,,1,0,,0,,1,1,1,1,1,,1,1,0,0,1,20007,20,3,,1,,,,,2017-02-15 11:35:24,2023-06-29 11:16:34,0,12,1,1,1018680,1,2007,0,,334717,398422,53.47847,-2.985131,Local Authority (in house),Local Authority,Pay and Play,Public Access
1,,,,,,30009283,100.0,6.0,,,,,,,,,,,,,,6.0,20.0,,,,,,,3,1,1200.0,,1,0,,0,,1,1,1,1,1,,1,1,1,0,1,20007,20,3,,1,,,,,2017-02-15 11:47:27,2023-08-16 14:29:09,0,12,1,1,1208421,1,2014,0,,386430,439243,53.84926,-2.207748,Local Authority (in house),Local Authority,Sports Club / Community Association,Public Access
0,,,,,,30009285,90.0,4.0,,,,,,,,,,,,,,4.5,20.0,,,,,,,3,0,1000.0,,0,0,,0,,1,0,0,0,1,,0,0,0,0,0,20007,20,3,,1,,,,,2017-02-15 12:02:54,2023-07-07 11:37:06,0,12,1,1,6007767,1,2001,0,,392689,399728,53.49423,-2.111665,Local Authority (in house),Local Authority,Free Public Access,Public Access
0,,,,,,30009286,,,,,,,,,,,1.0,1.0,,,,7.0,,,,,,,,12,,90.0,,1,0,,0,,1,1,1,1,1,,1,1,1,1,1,20006,20,3,Home of Bury Comets Cycle Speedway Club.,1,,,,,2017-02-15 12:07:13,2023-10-31 14:54:19,0,12,1,1,1002545,1,1993,0,,381046,408776,53.57526,-2.287709,Sport Club,Others,Sports Club / Community Association,Public Access
0,0,,,,,30009288,38.0,6.0,,,,,,,,,,,8,4,3,5.0,,,1,5.0,8.0,51.0,8.0,17,,378.0,4.0,1,0,,0,,1,1,1,1,1,,1,1,1,1,1,20003,20,3,,1,,,,,2017-02-15 12:54:13,2023-06-29 11:59:21,0,12,1,1,1206158,1,2017,1,,414450,92692,50.73365,-1.796604,Local Authority (in house),Local Authority,Pay and Play,Public Access
0,,,,,,30009291,50.0,6.0,,,,,,,,,,,,,,6.0,12.0,,,,,,,3,0,300.0,,1,1,2015,0,,0,0,0,0,0,,1,1,0,0,1,20007,20,3,,1,,,Greenwich Leisure Limited,,2017-02-15 14:11:25,2024-01-29 09:04:56,1,12,1,1,6001147,1,2013,0,2015,373818,162623,51.36206,-2.377434,Other,Others,Pay and Play,Public Access
0,0,,,,,30009292,26.0,6.0,,,,,,,,,,,8,4,3,5.0,,,1,5.0,8.0,29.0,8.0,17,,220.0,4.0,1,0,,0,,1,1,1,1,1,4 Disabled Bays,1,1,1,1,1,20003,20,3,,1,,,,,2017-02-15 14:24:36,2023-06-08 10:40:11,0,12,1,1,1005976,2,2012,0,,442038,120252,50.98015,-1.40253,Trust,Trust,Pay and Play,Public Access
0,,,,,,30009293,,,,,,,,,,,1.0,1.0,,,,5.5,,,,,,,,12,,90.0,,0,0,,0,,1,1,1,1,1,,1,1,1,0,1,20006,20,3,Outdoor gym equipment has been installed on track infield.,1,,,Active Nation,,2017-02-15 14:54:17,2024-06-05 15:39:00,1,12,1,1,1004799,1,2006,0,2012,360233,178820,51.5069,-2.574361,Trust,Trust,Pay and Play,Public Access
