Artificial Sports Lighting,Facility ID,Freestyle Features,Moguls,Skiable Length,Skiable Width,Slope Type,Surface Type,Tow,Has changing rooms?,Are changing rooms refurbished?,Year changing rooms refurbished,Changing Place Toilets,Closure Reason,Disability: Activity Area,Disability: Changing Facilities,Disability: Doorways,Disability: Emergency Exits,Disability: Finding and reaching the entrance,Disability Notes,Disability: Parking,Disability: Reception Area,Disability: Social Areas,Disability: Spectator Areas,Disability: Toilets,Facility Subtype,Facility Type,Operational Status,Operational Status Notes,Meets Active Places Criteria,Date Opened,Expected Opening Date,Operator Name,Closed Date,Created Date,Last Updated Date,Is Refurbished?,End Month,Start Month,Seasonality Type,Site ID,Timing Type,Year Built,Year Built Estimated?,Year Refurbished,Easting,Northing,Latitude,Longitude,Management Type (Text),Management Type Group (Text),Accessibility Type (Text),Accessibility Type Group (Text)
1,2009201,4,2,40.0,8.0,1,15,1,1,0,,0,,1,1,1,1,1,,1,1,1,1,1,11001,11,3,,1,,,,,,2023-12-19 16:47:25,1,12,1,1,1011608,2,1999,0,2004,615672,241181,52.0271,1.142399,Commercial Management,Commercial,Pay and Play,Public Access
1,2009202,4,2,145.0,25.0,3,15,2,1,0,,0,,1,1,1,1,1,,1,1,1,1,1,11001,11,3,,1,,,,,,2023-12-19 16:47:25,1,12,1,1,1011608,2,1979,0,2004,615672,241181,52.0271,1.142399,Commercial Management,Commercial,Pay and Play,Public Access
1,2009205,4,2,50.0,10.0,10,15,1,1,0,,0,,1,1,1,1,1,,1,1,1,1,1,11001,11,3,Toboggan run.,1,,,,,,2023-12-19 16:47:26,1,12,1,1,1011608,2,2003,0,2004,615672,241181,52.0271,1.142399,Commercial Management,Commercial,Pay and Play,Public Access
1,2009206,4,2,30.0,8.0,1,15,1,1,1,2018,0,,1,1,1,1,1,,1,1,1,1,1,11001,11,3,,1,,,,,,2024-01-16 14:01:11,1,12,1,1,1011609,2,1974,0,2003,369631,304883,52.64085,-2.450221,Local Authority (in house),Local Authority,Pay and Play,Public Access
1,2009207,4,2,85.0,22.0,2,15,1,1,1,2018,0,,1,1,1,1,1,,1,1,1,1,1,11001,11,3,,1,,,,,,2024-01-16 14:01:12,1,12,1,1,1011609,2,1974,0,2008,369631,304883,52.64085,-2.450221,Local Authority (in house),Local Authority,Pay and Play,Public Access
,2009208,4,2,135.0,20.0,1,15,1,1,0,,0,,1,1,1,1,1,,1,1,1,1,1,11003,11,3,,1,,,,,,2023-08-08 12:04:16,1,12,1,1,1011610,2,2000,0,2005,485946,238873,52.04162,-0.7482941,Commercial Management,Commercial,Pay and Play,Public Access
,2009209,4,2,175.0,20.0,3,15,1,1,0,,0,,1,1,1,1,1,,1,1,1,1,1,11003,11,3,,1,,,,,,2023-08-08 12:04:17,1,12,1,1,1011610,2,2000,0,2005,485946,238873,52.04162,-0.7482941,Commercial Management,Commercial,Pay and Play,Public Access
,2009210,4,2,175.0,20.0,3,15,1,1,0,,0,,1,1,1,1,1,,1,1,1,1,1,11003,11,3,,1,,,,,,2023-08-08 12:04:17,1,12,1,1,1011610,2,2000,0,2005,485946,238873,52.04162,-0.7482941,Commercial Management,Commercial,Pay and Play,Public Access
0,2009218,4,2,500.0,30.0,2,15,1,1,0,,0,,0,0,1,1,0,,0,0,0,0,0,11002,11,3,,1,,,,,,2023-08-03 09:33:35,0,12,1,1,1011613,1,1963,0,,389569,534123,54.70203,-2.163389,Sport Club,Others,Registered Membership use,Public Access
0,2009219,4,2,500.0,30.0,2,15,1,1,0,,0,,0,0,1,1,0,,0,0,0,0,0,11002,11,3,,1,,,,,,2023-08-03 09:33:36,0,12,1,1,1011613,1,1963,0,,389569,534123,54.70203,-2.163389,Sport Club,Others,Registered Membership use,Public Access
0,2009220,4,2,500.0,30.0,3,15,1,1,0,,0,,0,0,1,1,0,,0,0,0,0,0,11002,11,3,,1,,,,,,2023-08-03 09:33:36,0,12,1,1,1011613,1,1963,0,,389569,534123,54.70203,-2.163389,Sport Club,Others,Registered Membership use,Public Access
0,2009221,4,2,500.0,30.0,3,15,1,1,0,,0,,0,0,1,1,0,,0,0,0,0,0,11002,11,3,,1,,,,,,2023-08-03 09:33:36,0,12,1,1,1011613,1,1963,0,,389569,534123,54.70203,-2.163389,Sport Club,Others,Registered Membership use,Public Access
0,2009222,4,2,500.0,30.0,3,15,1,1,0,,0,,0,0,1,1,0,,0,0,0,0,0,11002,11,3,,1,,,,,,2023-08-03 09:33:37,0,12,1,1,1011613,1,1963,0,,389569,534123,54.70203,-2.163389,Sport Club,Others,Registered Membership use,Public Access
0,2009223,4,2,500.0,30.0,3,15,1,1,0,,0,,0,0,1,1,0,,0,0,0,0,0,11002,11,3,,1,,,,,,2023-08-03 09:33:37,0,12,1,1,1011613,1,1963,0,,389569,534123,54.70203,-2.163389,Sport Club,Others,Registered Membership use,Public Access
,2009224,4,2,30.0,20.0,1,15,1,1,1,2013,0,,1,1,1,1,1,,1,1,1,1,1,11003,11,3,,1,,,,,,2024-02-14 14:05:30,1,12,1,1,1011614,2,2002,0,2013,420970,303556,52.62938,-1.691613,Commercial Management,Commercial,Pay and Play,Public Access
,2009225,4,2,20.0,10.0,1,15,2,1,1,2013,0,,1,1,1,1,1,,1,1,1,1,1,11003,11,3,,1,,,,,,2024-02-14 14:05:30,1,12,1,1,1011614,2,2002,0,2013,420970,303556,52.62938,-1.691613,Commercial Management,Commercial,Pay and Play,Public Access
,2009227,4,2,170.0,30.0,2,15,1,1,1,2013,0,,1,1,1,1,1,,1,1,1,1,1,11003,11,3,,1,,,,,,2024-02-14 14:05:31,1,12,1,1,1011614,2,1994,0,2013,420970,303556,52.62938,-1.691613,Commercial Management,Commercial,Pay and Play,Public Access
1,2009229,4,2,30.0,8.0,1,15,1,0,0,,0,,1,0,1,1,1,,1,1,0,1,1,11001,11,3,,1,,,,,,2023-12-14 11:13:27,1,12,1,1,1011617,2,1973,0,2003,441099,116056,50.94248,-1.416388,Trust,Trust,Pay and Play,Public Access
1,2009230,4,2,85.0,20.0,2,15,1,0,0,,0,,1,0,1,1,1,,1,1,0,1,1,11001,11,3,,1,,,,,,2023-12-14 11:13:27,1,12,1,1,1011617,2,1973,0,2003,441099,116056,50.94248,-1.416388,Trust,Trust,Pay and Play,Public Access
1,2009231,4,2,120.0,15.0,3,15,1,0,0,,0,,1,0,1,1,1,,1,1,0,1,1,11001,11,3,,1,,,,,,2023-12-14 11:13:28,1,12,1,1,1011617,2,1973,0,2003,441099,116056,50.94248,-1.416388,Trust,Trust,Pay and Play,Public Access
1,2009232,4,2,32.0,16.0,1,15,1,1,0,,0,,1,1,1,1,1,Finding/Reaching Entrance: Dropped kerbs & ramp.,1,1,1,1,1,11001,11,3,,1,,,,,,2023-10-18 09:16:36,1,12,1,1,1011618,2,2004,0,2013,386852,347977,53.02893,-2.197491,Commercial Management,Commercial,Pay and Play,Public Access
1,2009233,4,2,100.0,30.0,2,15,1,1,0,,0,,1,1,1,1,1,Finding/Reaching Entrance: Dropped kerbs & ramp.,1,1,1,1,1,11001,11,3,,1,,,,,,2023-10-18 09:16:37,1,12,1,1,1011618,2,1988,0,2013,386852,347977,53.02893,-2.197491,Commercial Management,Commercial,Pay and Play,Public Access
1,2009234,4,2,150.0,15.0,3,15,2,1,0,,0,,1,1,1,1,1,Finding/Reaching Entrance: Dropped kerbs & ramps,1,1,1,1,1,11001,11,3,,1,,,,,,2023-10-18 09:16:37,1,12,1,1,1011618,2,1988,0,2016,386852,347977,53.02893,-2.197491,Commercial Management,Commercial,Pay and Play,Public Access
