Artificial Sports Lighting,Facility ID,Freestyle Features,Moguls,Skiable Length,Skiable Width,Slope Type,Surface Type,Tow,Has changing rooms?,Are changing rooms refurbished?,Year changing rooms refurbished,Changing Place Toilets,Closure Reason,Disability: Activity Area,Disability: Changing Facilities,Disability: Doorways,Disability: Emergency Exits,Disability: Finding and reaching the entrance,Disability Notes,Disability: Parking,Disability: Reception Area,Disability: Social Areas,Disability: Spectator Areas,Disability: Toilets,Facility Subtype,Facility Type,Operational Status,Operational Status Notes,Meets Active Places Criteria,Date Opened,Expected Opening Date,Operator Name,Closed Date,Created Date,Last Updated Date,Is Refurbished?,End Month,Start Month,Seasonality Type,Site ID,Timing Type,Year Built,Year Built Estimated?,Year Refurbished,Easting,Northing,Latitude,Longitude,Management Type (Text),Management Type Group (Text),Accessibility Type (Text),Accessibility Type Group (Text)
1,4009145,4,2,150.0,50.0,1,15,1,1,0,,2,999,0,0,0,0,0,,0,0,0,0,0,11002,11,5,,1,,,,2008-03-01,,2008-07-11 00:00:00,1,12,1,1,1011590,3,2003,0,2006,572751,167839,51.38331,0.4811555,Not Known,Not Known,Pay and Play,Public Access
1,4009204,4,2,5.0,5.0,10,15,1,1,0,,0,999,1,1,1,1,1,,1,1,1,1,1,11001,11,5,,1,,,,2008-07-01,,2023-12-19 16:47:26,1,12,1,1,1011608,3,1979,0,2004,615672,241181,52.0271,1.142399,Not Known,Not Known,Pay and Play,Public Access
1,4009211,4,2,40.0,30.0,1,15,1,1,1,2006,2,999,0,0,0,0,0,,0,0,0,0,0,11001,11,5,,1,,,,2007-09-01,,2007-11-23 00:00:00,0,12,1,1,1011611,3,1998,0,,355979,115637,50.93848,-2.627867,Not Known,Not Known,Pay and Play,Public Access
1,4009212,4,2,130.0,12.0,2,15,1,1,1,2006,2,999,0,0,0,0,0,,0,0,0,0,0,11001,11,5,,1,,,,2007-09-01,,2007-11-23 00:00:00,0,12,1,1,1011611,3,1998,0,,355979,115637,50.93848,-2.627867,Not Known,Not Known,Pay and Play,Public Access
1,4009213,4,2,110.0,15.0,2,15,1,1,1,2006,2,999,0,0,0,0,0,,0,0,0,0,0,11001,11,5,,1,,,,2007-09-01,,2007-11-23 00:00:00,0,12,1,1,1011611,3,1998,0,,355979,115637,50.93848,-2.627867,Not Known,Not Known,Pay and Play,Public Access
1,4009214,4,2,130.0,20.0,3,15,1,1,1,2006,2,999,0,0,0,0,0,,0,0,0,0,0,11001,11,5,,1,,,,2007-09-01,,2007-11-23 00:00:00,0,12,1,1,1011611,3,1998,0,,355979,115637,50.93848,-2.627867,Not Known,Not Known,Pay and Play,Public Access
1,4009215,4,2,110.0,15.0,10,15,1,1,1,2006,2,999,0,0,0,0,0,,0,0,0,0,0,11001,11,5,,1,,,,2007-09-01,,2007-11-23 00:00:00,0,12,1,1,1011611,3,1998,0,,355979,115637,50.93848,-2.627867,Not Known,Not Known,Pay and Play,Public Access
1,4114484,4,2,42.0,10.0,1,15,1,1,0,,0,,1,1,1,1,1,No DA to first floor,1,1,0,0,1,11001,11,3,,1,,,,,,2024-06-05 11:38:51,0,12,1,1,1208165,2,2007,0,,382823,279912,52.41694,-2.253977,School/College/University (in house),Education,Sports Club / Community Association,Public Access
1,4149674,4,2,95.0,20.0,10,15,1,0,0,,0,,0,0,1,1,0,The slope is situated in a public park and is at the bottom of a steep path.  By prior arrangement persons can be allowed access through the park.,1,1,1,0,1,11001,11,3,"This is a dedicated freestyle slope created in 2014 next to the original slope.  It has permanently set out jumps, rails and boxes.",1,2014-09-14,,,,,2023-09-08 17:16:50,0,6,9,2,1011605,2,2014,0,,383701,353334,53.077,-2.244735,Sport Club,Others,Sports Club / Community Association,Public Access
0,30018305,4,2,50.0,3.0,10,15,1,1,0,,0,,1,1,1,1,1,,1,1,1,1,1,11001,11,3,,1,,,,,2019-04-08 12:35:03,2023-09-21 12:51:08,0,12,1,1,1011597,2,2000,1,,251427,57378,50.39744,-4.09179,Commercial Management,Commercial,Pay and Play,Public Access
