Courts,Facility ID,Overmarked,Overmarked Sports: Basketball,Overmarked Sports: Football,Overmarked Sports: Hockey,Overmarked Sports: Netball,Overmarked Sports: Other Sport,Surface Type,Has changing rooms?,Are changing rooms refurbished?,Year changing rooms refurbished,Changing Place Toilets,Closure Reason,Disability: Activity Area,Disability: Changing Facilities,Disability: Doorways,Disability: Emergency Exits,Disability: Finding and reaching the entrance,Disability Notes,Disability: Parking,Disability: Reception Area,Disability: Social Areas,Disability: Spectator Areas,Disability: Toilets,Facility Subtype,Facility Type,Operational Status,Operational Status Notes,Meets Active Places Criteria,Date Opened,Expected Opening Date,Operator Name,Closed Date,Created Date,Last Updated Date,Is Refurbished?,End Month,Start Month,Seasonality Type,Site ID,Timing Type,Year Built,Year Built Estimated?,Year Refurbished,Easting,Northing,Latitude,Longitude,Management Type (Text),Management Type Group (Text),Accessibility Type (Text),Accessibility Type Group (Text)
3,2021644,2,2,2,2,2,2,4,1,1,2005,0,,1,1,1,1,1,Parking: Valet attendants but spaces available if required,1,1,1,1,1,4004,4,3,,1,,,,,,2023-10-30 09:21:10,1,12,1,1,1000368,2,2002,0,2015,525389,181747,51.52073,-0.1941077,Commercial Management,Commercial,Sports Club / Community Association,Public Access
3,2021645,2,2,2,2,2,2,5,1,1,2004,0,,1,1,1,1,1,No lift on site. No access to bar but rest of building there is,1,1,0,0,1,4004,4,3,,1,,,,,,2023-08-17 09:25:06,1,12,1,1,1000380,2,1880,0,1999,430323,437169,53.82992,-1.540779,Commercial Management,Commercial,Registered Membership use,Public Access
3,2021646,2,2,2,2,2,2,3,1,1,2005,0,,1,1,1,1,1,,1,1,1,1,1,4002,4,3,,1,,,,,,2024-04-30 09:06:08,1,12,1,1,1000388,2,1993,0,2010,486334,105355,50.84128,-0.7751832,Sport Club,Others,Registered Membership use,Public Access
6,2021648,2,2,2,2,2,2,5,1,1,2006,0,,1,1,1,1,1,,1,1,1,0,1,4004,4,3,,1,,,,,,2023-11-07 11:26:33,1,12,1,1,1000406,2,2003,0,2007,560656,188641,51.57375,0.3169549,Commercial Management,Commercial,Registered Membership use,Public Access
1,2021649,2,2,2,2,2,2,1,1,1,2014,0,,1,0,1,1,1,,1,1,1,0,0,4004,4,3,,1,,,,,,2023-10-31 11:27:46,1,12,1,1,1000409,2,1900,0,1995,491030,185183,51.5582,-0.6882843,Commercial Management,Commercial,Registered Membership use,Public Access
2,2021650,2,2,2,2,2,2,3,1,1,2005,0,,1,0,1,1,1,,1,1,1,0,0,4002,4,3,,1,,,,,,2023-09-21 15:05:55,1,12,1,1,1000452,2,1903,0,2007,529593,188074,51.57664,-0.1312187,Sport Club,Others,Sports Club / Community Association,Public Access
9,2021653,2,2,2,2,2,2,5,1,1,2014,0,,1,1,1,1,1,,1,1,1,1,1,4004,4,3,,1,,,,,,2023-10-19 09:51:36,1,12,1,1,1000497,2,1997,0,2007,385566,386777,53.37766,-2.218433,Commercial Management,Commercial,Registered Membership use,Public Access
7,2021654,2,2,2,2,2,2,5,1,1,2015,0,,1,1,1,1,1,,1,1,1,0,1,4004,4,3,,1,,,,,,2023-11-09 08:33:32,1,12,1,1,1000500,2,1998,0,2007,436551,335725,52.91772,-1.457848,Commercial Management,Commercial,Registered Membership use,Public Access
7,2021655,2,2,2,2,2,2,5,1,1,2011,0,,1,1,1,1,1,,1,1,1,1,1,4004,4,3,,1,,,,,,2023-10-25 14:34:23,0,12,1,1,1000502,2,1999,0,,508310,434203,53.7929,-0.3572816,Commercial Management,Commercial,Registered Membership use,Public Access
7,2021656,2,2,2,2,2,2,5,1,1,2007,0,,1,1,1,1,1,,1,1,1,0,1,4004,4,3,,1,,,,,,2023-08-24 11:23:58,1,12,1,1,1000503,2,1999,0,2014,454575,341306,52.96637,-1.18888,Commercial Management,Commercial,Registered Membership use,Public Access
5,2021657,2,2,2,2,2,2,1,1,1,2013,0,,1,1,1,1,1,Lift.,1,1,1,1,1,4004,4,3,,1,,,,,,2023-10-18 09:02:47,1,12,1,1,1000507,2,1993,0,2010,425699,567512,55.00153,-1.599799,Commercial Management,Commercial,Registered Membership use,Public Access
